####################################################################
# The columns in the output are:
# seconds latitude longitude heartRate elevation distance speed smooth
####################################################################
1945 60.803852 24.7807 153 82.0 3.75337926312841 13.5121653472623 11.1667201380806
1946 60.803883 24.780707 153 82.4 3.4682390224113 12.4856604806807 11.1667201380806
1947 60.803917 24.780718 154 82.6 3.82780340602678 13.7800922616964 11.1667201380806
1948 60.803948 24.780723 154 82.6 3.45804243044401 12.4489527495984 11.1667201380806
1949 60.80398 24.78073 155 82.6 3.57879717301865 12.8836698228671 11.1667201380806
1950 60.804012 24.780742 155 82.6 3.61764296846496 13.0235146864739 10.3196750629685
1951 60.804043 24.780753 155 82.6 3.49864986365088 12.5951395091432 10.3196750629685
1952 60.804077 24.780763 155 82.8 3.8197224955063 13.7510009838227 10.3196750629685
1953 60.804108 24.780772 155 82.8 3.48178749093675 12.5344349673723 10.3196750629685
1954 60.80414 24.780778 156 82.8 3.57344841856171 12.8644143068222 10.3196750629685
1955 60.804185 24.780793 156 83.0 5.0699951846184 18.2519826646262 10.3489979534321
1956 60.80421 24.780803 157 83.0 2.83257987951606 10.1972875662578 10.3489979534321
1957 60.804248 24.78082 157 83.0 4.32528228315136 15.5710162193449 10.3489979534321
1958 60.804287 24.78083 156 83.0 4.37083020239586 15.7349887286251 10.3489979534321
1959 60.804325 24.780833 156 83.4 4.2289640213183 15.2242704767459 10.3489979534321
1960 60.804377 24.780847 156 83.4 5.83237197666653 20.9965391159995 11.3455125981947
1961 60.804402 24.78086 156 83.2 2.86819509375651 10.3255023375235 11.3455125981947
1962 60.804428 24.780872 156 83.2 2.96372815471344 10.6694213569684 11.3455125981947
1963 60.80446 24.78088 156 83.4 3.58495793376399 12.9058485615504 11.3455125981947
1964 60.804492 24.780887 156 83.6 3.57879652869078 12.8836675032868 11.3455125981947
1965 60.80453 24.780902 155 83.8 4.30345539011945 15.49243940443 9.3568879518658
1966 60.804557 24.780913 156 83.8 3.06128122305 11.02061240298 9.3568879518658
1967 60.804588 24.78093 157 83.8 3.5685972234809 12.8469500045312 9.3568879518658
1968 60.80462 24.780953 157 84.0 3.77096828083966 13.5754858110228 9.3568879518658
1969 60.804658 24.780985 158 84.4 4.56845771974051 16.4464477910658 9.3568879518658
1970 60.804683 24.781002 158 84.6 2.92910182271946 10.5447665617901 10.77789920192
1971 60.804717 24.78103 158 84.6 4.07467204368201 14.6688193572553 10.77789920192
1972 60.80476 24.781062 158 84.6 5.08717402531038 18.3138264911174 10.77789920192
1973 60.804787 24.781092 157 84.6 3.41520872270946 12.2947514017541 10.77789920192
1974 60.804818 24.781125 157 84.6 3.88444015584869 13.9839845610553 10.77789920192
1975 60.80485 24.78116 156 84.8 4.03338029556731 14.5201690640423 11.8522763622364
1976 60.804882 24.781192 157 84.8 3.95938238830752 14.2537765979071 11.8522763622364
1977 60.804915 24.781227 157 84.8 4.13182572538702 14.8745726113933 11.8522763622364
1978 60.80494 24.781257 157 84.8 3.22140937562115 11.5970737522361 11.8522763622364
1979 60.80496 24.781287 157 85.0 2.7558928782457 9.92121436168452 11.8522763622364
